idx,text,dominant_topic,votes,score,reason,topic_confidence,umap_distance,umap_zscore,dbscan_noise,isolation_forest,oneclass_svm_flag,explanation_gpt
1574,"mora lake, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, mora, banff national park, spectacular rocky mountains, mountains and lakes, lakeside mountains, rocky mountains and a river, spectacular mountains, rocky mountains, beautiful mountains, british columbia, breathtaking mountains, mountains background, canada",1,4,5,multi_detector,0.5463766576838007,16.61648,4.9322567,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
556,"niagara falls in the fall, niagara falls, canada, beautiful stunning waterfall, defence, toronto city, waterfalls and lakes, beautiful border, beautiful city, lakes and waterfalls, toronto, blue wall, waterfall(beautiful, a river flowing with waterfall, wow it is beautiful, the city of toronto, beautiful waterfall, spring season city, vibrant water river, analysis city, tourism",3,4,5,multi_detector,0.5405861046744844,10.850853,2.4904993,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
51,"a man standing on a rock overlooking a lake, banff national park, mountains and lakes, rocky mountains and a river, lake blue, a lake between mountains, beautiful lake background, a photo of a lake on a sunny day, mountain lakes, mountain lake, endless lake, stunning nature in background, standing in a lake, parks and lakes, amazing landscape in background",4,3,4,multi_detector,0.5015990033624722,4.7489457,-0.09367349,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
568,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,3,4,multi_detector,0.5013255819641751,7.929857,1.2534502,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
57,"a lake surrounded by trees and mountains, banff national park, mountain lakes, spectacular rocky mountains, lake blue, mountain lake, mountains and lakes, british columbia, lakeside mountains, teal landscape, rocky mountains and a river, rocky mountains, blue and green water, puddles of turquoise water, clear blue water, crystal clear blue water, beautiful lake, beautiful lake background",1,2,3,multi_detector,0.5013255819641751,7.88652,1.2350969,0,1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
593,"a plane flying over the clouds, canada, aeroplane, aircraft, air, plane, the other is used for flight, realistic aircraft, speedy aircraft, realistic aircrafts, flying aircrafts, turbulence, canadian maple leaves, flight, ascendent plane, aircraft wings on back, langoliers, real aircrafts references, air technology, cad, airplane in the sky",1,3,4,multi_detector,0.42163228647449635,2.9495945,-0.8557032,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
599,"parliament building in ottawa, canada, canada, parliament, big ben, airplane in the sky, fighter jet in flight, flying into the sky, rocket launching into the sky, contrails, flying through sky, the houses of parliament, flying through the sky, buildings are flying, flying aircrafts, capital, capital city, fly, cottagecore, big clock",3,3,4,multi_detector,0.4981618861587808,7.7964215,1.1969401,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
1111,"a large building with many flowers in front, national gallery, city park with flowers, the grand temple of flowers, parks and gardens, beautiful!!!! museum photo, with colorful flowers and plants, tulips, garden with flowers, roses and tulips, biodome, chrysanthemum and tulips, museum of art, spring flowers, cottagecore flower garden, botanical garden",0,2,3,multi_detector,0.4576766205751118,7.477979,1.062079,0,-1,1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
2154,"a couple sitting under a tree in a park, vancouver, people resting on the grass, british columbia, people on a picnic, tourism, canada, sitting on green grass, sitting on one knee on the grass, romantic couple, couple, on a green lawn, smiling couple, lovely couple, washington, 2019, 2 0 1 9, two people, picnic",0,2,4,multi_detector,0.44511313989942497,0.8151009,-1.7596663,1,1,1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
628,"a large building with a lot of windows, futuristic government chambers, the city of toronto, toronto city, toronto, canada, white marble buildings, government archive, pillar, photo taken in 2018, official courthouse, cad, us court, pink marble building, court images, other smaller buildings, big poor building, trilliant, rbc, building cover with plant",2,3,4,multi_detector,0.46378833794014973,7.7099714,1.1603281,0,-1,-1,"[ERROR al generar explicación: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}]"
